collected_at,streams,streams_en,viewers,viewers_en
2026-08-22T17:14:55+00:00,31,23,170,116
2026-08-22T17:55:04+00:00,27,20,158,102
2026-08-22T19:02:30+00:00,31,27,140,131
2026-08-22T19:51:45+00:00,27,25,115,113
2026-08-22T20:52:15+00:00,34,28,110,97
2026-08-22T21:44:01+00:00,32,26,80,71
2026-08-22T22:01:54+00:00,30,24,216,208
2026-08-22T22:56:02+00:00,23,21,211,208
2026-08-22T23:42:28+00:00,23,19,57,45
2026-08-23T00:01:46+00:00,24,21,55,46
2026-08-23T03:32:09+00:00,27,24,80,70
2026-08-23T05:06:21+00:00,21,20,59,58
2026-08-23T06:02:01+00:00,22,19,65,49
2026-08-23T07:51:12+00:00,19,14,148,108
2026-08-23T09:01:46+00:00,18,13,134,93
2026-08-23T09:58:29+00:00,15,11,49,35
2026-08-23T10:54:15+00:00,17,14,59,52
2026-08-23T11:42:42+00:00,21,14,122,54
2026-08-23T13:22:09+00:00,16,11,72,53
2026-08-23T14:03:10+00:00,15,10,60,36
2026-08-23T14:59:07+00:00,17,11,44,20
2026-08-23T15:49:58+00:00,22,12,62,22
2026-08-23T16:56:23+00:00,26,17,86,38
2026-08-23T17:42:09+00:00,29,21,119,59
2026-08-23T18:01:21+00:00,29,20,117,57
2026-08-23T19:05:29+00:00,23,17,122,71
2026-08-23T19:50:08+00:00,24,20,109,83
2026-08-23T20:52:07+00:00,29,24,153,130
2026-08-23T21:42:45+00:00,29,23,169,138
2026-08-23T22:01:28+00:00,31,26,188,159
2026-08-23T22:55:27+00:00,29,24,188,170
2026-08-23T23:42:00+00:00,30,25,260,240
2026-08-24T00:01:50+00:00,22,18,240,223
2026-08-24T03:36:22+00:00,25,23,271,268
2026-08-24T05:55:14+00:00,28,25,426,421
2026-08-24T08:26:02+00:00,21,16,348,272
2026-08-24T10:23:10+00:00,11,7,305,239
2026-08-24T11:48:41+00:00,6,5,205,204
2026-08-24T14:25:19+00:00,15,10,108,91
2026-08-24T16:06:49+00:00,26,17,294,260
2026-08-24T17:51:47+00:00,28,17,336,253
2026-08-24T19:19:11+00:00,38,25,363,234
2026-08-24T21:00:51+00:00,33,25,197,87
2026-08-24T22:01:14+00:00,36,31,136,121
2026-08-24T23:01:36+00:00,29,26,448,444
2026-08-24T23:54:19+00:00,33,30,369,364
2026-08-25T03:15:33+00:00,37,33,115,109
2026-08-25T05:09:05+00:00,30,28,111,107
2026-08-25T06:04:59+00:00,27,25,114,89
2026-08-25T08:23:28+00:00,19,17,160,43
2026-08-25T10:03:16+00:00,9,7,126,13
2026-08-25T11:14:15+00:00,12,10,139,29
2026-08-25T14:08:38+00:00,18,11,88,39
2026-08-25T16:10:35+00:00,27,22,270,259
2026-08-25T17:48:20+00:00,33,21,558,302
2026-08-25T19:20:17+00:00,34,25,151,131
2026-08-25T20:53:32+00:00,46,33,339,304
2026-08-25T21:56:11+00:00,48,36,325,296
2026-08-25T22:59:51+00:00,53,45,333,313
2026-08-25T23:53:26+00:00,47,43,336,328
2026-08-26T03:34:35+00:00,45,44,187,186
2026-08-26T05:18:31+00:00,49,45,259,251
2026-08-26T08:03:18+00:00,25,22,89,80
2026-08-26T10:08:27+00:00,16,13,89,72
2026-08-26T11:49:42+00:00,15,13,61,54
2026-08-26T14:25:25+00:00,20,14,347,329
